chapter,chapter_num,block,prefix,icd_version
Chapter I Infectious and parasitic diseases (001-139),1,030-041 Other bacterial diseases,031,9
Chapter I Infectious and parasitic diseases (001-139),1,030-041 Other bacterial diseases,032,9
Chapter I Infectious and parasitic diseases (001-139),1,030-041 Other bacterial diseases,033,9
Chapter I Infectious and parasitic diseases (001-139),1,030-041 Other bacterial diseases,034,9
Chapter I Infectious and parasitic diseases (001-139),1,030-041 Other bacterial diseases,035,9
Chapter I Infectious and parasitic diseases (001-139),1,030-041 Other bacterial diseases,036,9
Chapter I Infectious and parasitic diseases (001-139),1,030-041 Other bacterial diseases,037,9
Chapter I Infectious and parasitic diseases (001-139),1,030-041 Other bacterial diseases,038,9
Chapter I Infectious and parasitic diseases (001-139),1,030-041 Other bacterial diseases,039,9
Chapter I Infectious and parasitic diseases (001-139),1,030-041 Other bacterial diseases,040,9
Chapter I Infectious and parasitic diseases (001-139),1,030-041 Other bacterial diseases,041,9
Chapter I Infectious and parasitic diseases (001-139),1,042-044 Human immunodeficiency virus (HIV) infection,042,9
Chapter I Infectious and parasitic diseases (001-139),1,042-044 Human immunodeficiency virus (HIV) infection,043,9
Chapter I Infectious and parasitic diseases (001-139),1,042-044 Human immunodeficiency virus (HIV) infection,044,9
Chapter I Infectious and parasitic diseases (001-139),1,045-049 Poliomyelitis and other non-arthropod-borne viral diseases of central nervous system,045,9
Chapter I Infectious and parasitic diseases (001-139),1,045-049 Poliomyelitis and other non-arthropod-borne viral diseases of central nervous system,046,9
Chapter I Infectious and parasitic diseases (001-139),1,045-049 Poliomyelitis and other non-arthropod-borne viral diseases of central nervous system,047,9
Chapter I Infectious and parasitic diseases (001-139),1,045-049 Poliomyelitis and other non-arthropod-borne viral diseases of central nervous system,048,9
Chapter I Infectious and parasitic diseases (001-139),1,045-049 Poliomyelitis and other non-arthropod-borne viral diseases of central nervous system,049,9
Chapter I Infectious and parasitic diseases (001-139),1,050-059 Viral diseases accompanied by exanthem,050,9
Chapter I Infectious and parasitic diseases (001-139),1,050-059 Viral diseases accompanied by exanthem,051,9
Chapter I Infectious and parasitic diseases (001-139),1,050-059 Viral diseases accompanied by exanthem,052,9
Chapter I Infectious and parasitic diseases (001-139),1,050-059 Viral diseases accompanied by exanthem,053,9
Chapter I Infectious and parasitic diseases (001-139),1,050-059 Viral diseases accompanied by exanthem,054,9
Chapter I Infectious and parasitic diseases (001-139),1,050-059 Viral diseases accompanied by exanthem,055,9
Chapter I Infectious and parasitic diseases (001-139),1,050-059 Viral diseases accompanied by exanthem,056,9
Chapter I Infectious and parasitic diseases (001-139),1,050-059 Viral diseases accompanied by exanthem,057,9
Chapter I Infectious and parasitic diseases (001-139),1,050-059 Viral diseases accompanied by exanthem,058,9
Chapter I Infectious and parasitic diseases (001-139),1,050-059 Viral diseases accompanied by exanthem,059,9
Chapter I Infectious and parasitic diseases (001-139),1,060-066 Arthropod-borne viral diseases,060,9
Chapter I Infectious and parasitic diseases (001-139),1,060-066 Arthropod-borne viral diseases,061,9
Chapter I Infectious and parasitic diseases (001-139),1,060-066 Arthropod-borne viral diseases,062,9
Chapter I Infectious and parasitic diseases (001-139),1,060-066 Arthropod-borne viral diseases,063,9
Chapter I Infectious and parasitic diseases (001-139),1,060-066 Arthropod-borne viral diseases,064,9
Chapter I Infectious and parasitic diseases (001-139),1,060-066 Arthropod-borne viral diseases,065,9
Chapter I Infectious and parasitic diseases (001-139),1,060-066 Arthropod-borne viral diseases,066,9
Chapter I Infectious and parasitic diseases (001-139),1,070-079 Other diseases due to viruses and chlamydiae,070,9
Chapter I Infectious and parasitic diseases (001-139),1,070-079 Other diseases due to viruses and chlamydiae,071,9
Chapter I Infectious and parasitic diseases (001-139),1,070-079 Other diseases due to viruses and chlamydiae,072,9
Chapter I Infectious and parasitic diseases (001-139),1,070-079 Other diseases due to viruses and chlamydiae,073,9
Chapter I Infectious and parasitic diseases (001-139),1,070-079 Other diseases due to viruses and chlamydiae,074,9
Chapter I Infectious and parasitic diseases (001-139),1,070-079 Other diseases due to viruses and chlamydiae,075,9
Chapter I Infectious and parasitic diseases (001-139),1,070-079 Other diseases due to viruses and chlamydiae,076,9
Chapter I Infectious and parasitic diseases (001-139),1,070-079 Other diseases due to viruses and chlamydiae,077,9
Chapter I Infectious and parasitic diseases (001-139),1,070-079 Other diseases due to viruses and chlamydiae,078,9
Chapter I Infectious and parasitic diseases (001-139),1,070-079 Other diseases due to viruses and chlamydiae,079,9
Chapter I Infectious and parasitic diseases (001-139),1,080-088 Rickettsioses and other arthropod-borne diseases,080,9
Chapter I Infectious and parasitic diseases (001-139),1,080-088 Rickettsioses and other arthropod-borne diseases,081,9
Chapter I Infectious and parasitic diseases (001-139),1,080-088 Rickettsioses and other arthropod-borne diseases,082,9
Chapter I Infectious and parasitic diseases (001-139),1,080-088 Rickettsioses and other arthropod-borne diseases,083,9
Chapter I Infectious and parasitic diseases (001-139),1,080-088 Rickettsioses and other arthropod-borne diseases,084,9
Chapter I Infectious and parasitic diseases (001-139),1,080-088 Rickettsioses and other arthropod-borne diseases,085,9
Chapter I Infectious and parasitic diseases (001-139),1,080-088 Rickettsioses and other arthropod-borne diseases,086,9
Chapter I Infectious and parasitic diseases (001-139),1,080-088 Rickettsioses and other arthropod-borne diseases,087,9
Chapter I Infectious and parasitic diseases (001-139),1,080-088 Rickettsioses and other arthropod-borne diseases,088,9
Chapter I Infectious and parasitic diseases (001-139),1,090-099 Syphilis and other venereal diseases,090,9
Chapter I Infectious and parasitic diseases (001-139),1,090-099 Syphilis and other venereal diseases,091,9
Chapter I Infectious and parasitic diseases (001-139),1,090-099 Syphilis and other venereal diseases,092,9
Chapter I Infectious and parasitic diseases (001-139),1,090-099 Syphilis and other venereal diseases,093,9
Chapter I Infectious and parasitic diseases (001-139),1,090-099 Syphilis and other venereal diseases,094,9
Chapter I Infectious and parasitic diseases (001-139),1,090-099 Syphilis and other venereal diseases,095,9
Chapter I Infectious and parasitic diseases (001-139),1,090-099 Syphilis and other venereal diseases,096,9
Chapter I Infectious and parasitic diseases (001-139),1,090-099 Syphilis and other venereal diseases,097,9
Chapter I Infectious and parasitic diseases (001-139),1,090-099 Syphilis and other venereal diseases,098,9
Chapter I Infectious and parasitic diseases (001-139),1,090-099 Syphilis and other venereal diseases,099,9
Chapter I Infectious and parasitic diseases (001-139),1,100-104 Other spirochetal diseases,100,9
Chapter I Infectious and parasitic diseases (001-139),1,100-104 Other spirochetal diseases,101,9
Chapter I Infectious and parasitic diseases (001-139),1,100-104 Other spirochetal diseases,102,9
Chapter I Infectious and parasitic diseases (001-139),1,100-104 Other spirochetal diseases,103,9
Chapter I Infectious and parasitic diseases (001-139),1,100-104 Other spirochetal diseases,104,9
Chapter I Infectious and parasitic diseases (001-139),1,110-118 Mycoses,110,9
Chapter I Infectious and parasitic diseases (001-139),1,110-118 Mycoses,111,9
Chapter I Infectious and parasitic diseases (001-139),1,110-118 Mycoses,112,9
Chapter I Infectious and parasitic diseases (001-139),1,110-118 Mycoses,113,9
Chapter I Infectious and parasitic diseases (001-139),1,110-118 Mycoses,114,9
Chapter I Infectious and parasitic diseases (001-139),1,110-118 Mycoses,115,9
Chapter I Infectious and parasitic diseases (001-139),1,110-118 Mycoses,116,9
Chapter I Infectious and parasitic diseases (001-139),1,110-118 Mycoses,117,9
Chapter I Infectious and parasitic diseases (001-139),1,110-118 Mycoses,118,9
Chapter I Infectious and parasitic diseases (001-139),1,120-129 Helminthiases,120,9
Chapter I Infectious and parasitic diseases (001-139),1,120-129 Helminthiases,121,9
Chapter I Infectious and parasitic diseases (001-139),1,120-129 Helminthiases,122,9
Chapter I Infectious and parasitic diseases (001-139),1,120-129 Helminthiases,123,9
Chapter I Infectious and parasitic diseases (001-139),1,120-129 Helminthiases,124,9
Chapter I Infectious and parasitic diseases (001-139),1,120-129 Helminthiases,125,9
Chapter I Infectious and parasitic diseases (001-139),1,120-129 Helminthiases,126,9
Chapter I Infectious and parasitic diseases (001-139),1,120-129 Helminthiases,127,9
Chapter I Infectious and parasitic diseases (001-139),1,120-129 Helminthiases,128,9
Chapter I Infectious and parasitic diseases (001-139),1,120-129 Helminthiases,129,9
Chapter I Infectious and parasitic diseases (001-139),1,130-136 Other infectious and parasitic diseases,130,9
Chapter I Infectious and parasitic diseases (001-139),1,130-136 Other infectious and parasitic diseases,131,9
Chapter I Infectious and parasitic diseases (001-139),1,130-136 Other infectious and parasitic diseases,132,9
Chapter I Infectious and parasitic diseases (001-139),1,130-136 Other infectious and parasitic diseases,133,9
Chapter I Infectious and parasitic diseases (001-139),1,130-136 Other infectious and parasitic diseases,134,9
Chapter I Infectious and parasitic diseases (001-139),1,130-136 Other infectious and parasitic diseases,135,9
Chapter I Infectious and parasitic diseases (001-139),1,130-136 Other infectious and parasitic diseases,136,9
Chapter I Infectious and parasitic diseases (001-139),1,137-139 Late effects of infectious and parasitic diseases,137,9
Chapter I Infectious and parasitic diseases (001-139),1,137-139 Late effects of infectious and parasitic diseases,138,9
Chapter I Infectious and parasitic diseases (001-139),1,137-139 Late effects of infectious and parasitic diseases,139,9
Chapter II Neoplasms (140-239),2,"140-149 Malignant neoplasm of lip, oral cavity, and pharynx",140,9
Chapter II Neoplasms (140-239),2,"140-149 Malignant neoplasm of lip, oral cavity, and pharynx",141,9
Chapter II Neoplasms (140-239),2,"140-149 Malignant neoplasm of lip, oral cavity, and pharynx",142,9
Chapter II Neoplasms (140-239),2,"140-149 Malignant neoplasm of lip, oral cavity, and pharynx",143,9
Chapter II Neoplasms (140-239),2,"140-149 Malignant neoplasm of lip, oral cavity, and pharynx",144,9
Chapter II Neoplasms (140-239),2,"140-149 Malignant neoplasm of lip, oral cavity, and pharynx",145,9
Chapter II Neoplasms (140-239),2,"140-149 Malignant neoplasm of lip, oral cavity, and pharynx",146,9
Chapter II Neoplasms (140-239),2,"140-149 Malignant neoplasm of lip, oral cavity, and pharynx",147,9
Chapter II Neoplasms (140-239),2,"140-149 Malignant neoplasm of lip, oral cavity, and pharynx",148,9
Chapter II Neoplasms (140-239),2,"140-149 Malignant neoplasm of lip, oral cavity, and pharynx",149,9
Chapter II Neoplasms (140-239),2,150-159 Malignant neoplasm of digestive organs and peritoneum,150,9
Chapter II Neoplasms (140-239),2,150-159 Malignant neoplasm of digestive organs and peritoneum,151,9
Chapter II Neoplasms (140-239),2,150-159 Malignant neoplasm of digestive organs and peritoneum,152,9
Chapter II Neoplasms (140-239),2,150-159 Malignant neoplasm of digestive organs and peritoneum,153,9
Chapter II Neoplasms (140-239),2,150-159 Malignant neoplasm of digestive organs and peritoneum,154,9
Chapter II Neoplasms (140-239),2,150-159 Malignant neoplasm of digestive organs and peritoneum,155,9
Chapter II Neoplasms (140-239),2,150-159 Malignant neoplasm of digestive organs and peritoneum,156,9
Chapter II Neoplasms (140-239),2,150-159 Malignant neoplasm of digestive organs and peritoneum,157,9
Chapter II Neoplasms (140-239),2,150-159 Malignant neoplasm of digestive organs and peritoneum,158,9
Chapter II Neoplasms (140-239),2,150-159 Malignant neoplasm of digestive organs and peritoneum,159,9
Chapter II Neoplasms (140-239),2,160-165 Malignant neoplasm of respiratory and intrathoracic organs,160,9
Chapter II Neoplasms (140-239),2,160-165 Malignant neoplasm of respiratory and intrathoracic organs,161,9
Chapter II Neoplasms (140-239),2,160-165 Malignant neoplasm of respiratory and intrathoracic organs,162,9
Chapter II Neoplasms (140-239),2,160-165 Malignant neoplasm of respiratory and intrathoracic organs,163,9
Chapter II Neoplasms (140-239),2,160-165 Malignant neoplasm of respiratory and intrathoracic organs,164,9
Chapter II Neoplasms (140-239),2,160-165 Malignant neoplasm of respiratory and intrathoracic organs,165,9
Chapter II Neoplasms (140-239),2,"170-175 Malignant neoplasm of bone, connective tissue, skin, and breast",170,9
Chapter II Neoplasms (140-239),2,"170-175 Malignant neoplasm of bone, connective tissue, skin, and breast",171,9
Chapter II Neoplasms (140-239),2,"170-175 Malignant neoplasm of bone, connective tissue, skin, and breast",172,9
Chapter II Neoplasms (140-239),2,"170-175 Malignant neoplasm of bone, connective tissue, skin, and breast",173,9
Chapter II Neoplasms (140-239),2,"170-175 Malignant neoplasm of bone, connective tissue, skin, and breast",174,9
Chapter II Neoplasms (140-239),2,"170-175 Malignant neoplasm of bone, connective tissue, skin, and breast",175,9
Chapter II Neoplasms (140-239),2,176-176 Kaposi's sarcoma,176,9
Chapter II Neoplasms (140-239),2,179-189 Malignant neoplasm of genitourinary organs,179,9
Chapter II Neoplasms (140-239),2,179-189 Malignant neoplasm of genitourinary organs,180,9
Chapter II Neoplasms (140-239),2,179-189 Malignant neoplasm of genitourinary organs,181,9
Chapter II Neoplasms (140-239),2,179-189 Malignant neoplasm of genitourinary organs,182,9
Chapter II Neoplasms (140-239),2,179-189 Malignant neoplasm of genitourinary organs,183,9
Chapter II Neoplasms (140-239),2,179-189 Malignant neoplasm of genitourinary organs,184,9
Chapter II Neoplasms (140-239),2,179-189 Malignant neoplasm of genitourinary organs,185,9
Chapter II Neoplasms (140-239),2,179-189 Malignant neoplasm of genitourinary organs,186,9
Chapter II Neoplasms (140-239),2,179-189 Malignant neoplasm of genitourinary organs,187,9
Chapter II Neoplasms (140-239),2,179-189 Malignant neoplasm of genitourinary organs,188,9
Chapter II Neoplasms (140-239),2,179-189 Malignant neoplasm of genitourinary organs,189,9
Chapter II Neoplasms (140-239),2,190-199 Malignant neoplasm of other and unspecified sites,190,9
Chapter II Neoplasms (140-239),2,190-199 Malignant neoplasm of other and unspecified sites,191,9
Chapter II Neoplasms (140-239),2,190-199 Malignant neoplasm of other and unspecified sites,192,9
Chapter II Neoplasms (140-239),2,190-199 Malignant neoplasm of other and unspecified sites,193,9
Chapter II Neoplasms (140-239),2,190-199 Malignant neoplasm of other and unspecified sites,194,9
Chapter II Neoplasms (140-239),2,190-199 Malignant neoplasm of other and unspecified sites,195,9
Chapter II Neoplasms (140-239),2,190-199 Malignant neoplasm of other and unspecified sites,196,9
Chapter II Neoplasms (140-239),2,190-199 Malignant neoplasm of other and unspecified sites,197,9
Chapter II Neoplasms (140-239),2,190-199 Malignant neoplasm of other and unspecified sites,198,9
Chapter II Neoplasms (140-239),2,190-199 Malignant neoplasm of other and unspecified sites,199,9
Chapter II Neoplasms (140-239),2,200-208 Malignant neoplasm of lymphatic and hematopoietic tissue,200,9
Chapter II Neoplasms (140-239),2,200-208 Malignant neoplasm of lymphatic and hematopoietic tissue,201,9
Chapter II Neoplasms (140-239),2,200-208 Malignant neoplasm of lymphatic and hematopoietic tissue,202,9
Chapter II Neoplasms (140-239),2,200-208 Malignant neoplasm of lymphatic and hematopoietic tissue,203,9
Chapter II Neoplasms (140-239),2,200-208 Malignant neoplasm of lymphatic and hematopoietic tissue,204,9
Chapter II Neoplasms (140-239),2,200-208 Malignant neoplasm of lymphatic and hematopoietic tissue,205,9
Chapter II Neoplasms (140-239),2,200-208 Malignant neoplasm of lymphatic and hematopoietic tissue,206,9
Chapter II Neoplasms (140-239),2,200-208 Malignant neoplasm of lymphatic and hematopoietic tissue,207,9
Chapter II Neoplasms (140-239),2,200-208 Malignant neoplasm of lymphatic and hematopoietic tissue,208,9
Chapter II Neoplasms (140-239),2,209-209 Neuroendocrine tumors,209,9
Chapter II Neoplasms (140-239),2,210-229 Benign neoplasms,210,9
Chapter II Neoplasms (140-239),2,210-229 Benign neoplasms,211,9
Chapter II Neoplasms (140-239),2,210-229 Benign neoplasms,212,9
Chapter II Neoplasms (140-239),2,210-229 Benign neoplasms,213,9
Chapter II Neoplasms (140-239),2,210-229 Benign neoplasms,214,9
Chapter II Neoplasms (140-239),2,210-229 Benign neoplasms,215,9
Chapter II Neoplasms (140-239),2,210-229 Benign neoplasms,216,9
Chapter II Neoplasms (140-239),2,210-229 Benign neoplasms,217,9
Chapter II Neoplasms (140-239),2,210-229 Benign neoplasms,218,9
Chapter II Neoplasms (140-239),2,210-229 Benign neoplasms,219,9
Chapter II Neoplasms (140-239),2,210-229 Benign neoplasms,220,9
Chapter II Neoplasms (140-239),2,210-229 Benign neoplasms,221,9
Chapter II Neoplasms (140-239),2,210-229 Benign neoplasms,222,9
Chapter II Neoplasms (140-239),2,210-229 Benign neoplasms,223,9
Chapter II Neoplasms (140-239),2,210-229 Benign neoplasms,224,9
Chapter II Neoplasms (140-239),2,210-229 Benign neoplasms,225,9
Chapter II Neoplasms (140-239),2,210-229 Benign neoplasms,226,9
Chapter II Neoplasms (140-239),2,210-229 Benign neoplasms,227,9
Chapter II Neoplasms (140-239),2,210-229 Benign neoplasms,228,9
Chapter II Neoplasms (140-239),2,210-229 Benign neoplasms,229,9
Chapter II Neoplasms (140-239),2,230-234 Carcinoma in situ,230,9
Chapter II Neoplasms (140-239),2,230-234 Carcinoma in situ,231,9
Chapter II Neoplasms (140-239),2,230-234 Carcinoma in situ,232,9
Chapter II Neoplasms (140-239),2,230-234 Carcinoma in situ,233,9
Chapter II Neoplasms (140-239),2,230-234 Carcinoma in situ,234,9
Chapter II Neoplasms (140-239),2,235-238 Neoplasms of uncertain behavior,235,9
Chapter II Neoplasms (140-239),2,235-238 Neoplasms of uncertain behavior,236,9
Chapter II Neoplasms (140-239),2,235-238 Neoplasms of uncertain behavior,237,9
Chapter II Neoplasms (140-239),2,235-238 Neoplasms of uncertain behavior,238,9
Chapter II Neoplasms (140-239),2,239-239 Neoplasms of unspecified nature,239,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,240-246 Disorders of thyroid gland,240,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,240-246 Disorders of thyroid gland,241,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,240-246 Disorders of thyroid gland,242,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,240-246 Disorders of thyroid gland,243,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,240-246 Disorders of thyroid gland,244,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,240-246 Disorders of thyroid gland,245,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,240-246 Disorders of thyroid gland,246,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,249-259 Diseases of other endocrine glands,249,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,249-259 Diseases of other endocrine glands,250,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,249-259 Diseases of other endocrine glands,251,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,249-259 Diseases of other endocrine glands,252,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,249-259 Diseases of other endocrine glands,253,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,249-259 Diseases of other endocrine glands,254,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,249-259 Diseases of other endocrine glands,255,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,249-259 Diseases of other endocrine glands,256,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,249-259 Diseases of other endocrine glands,257,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,249-259 Diseases of other endocrine glands,258,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,249-259 Diseases of other endocrine glands,259,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,260-269 Nutritional deficiencies,260,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,260-269 Nutritional deficiencies,261,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,260-269 Nutritional deficiencies,262,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,260-269 Nutritional deficiencies,263,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,260-269 Nutritional deficiencies,264,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,260-269 Nutritional deficiencies,265,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,260-269 Nutritional deficiencies,266,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,260-269 Nutritional deficiencies,267,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,260-269 Nutritional deficiencies,268,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,260-269 Nutritional deficiencies,269,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,270-279 Other metabolic and immunity disorders,270,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,270-279 Other metabolic and immunity disorders,271,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,270-279 Other metabolic and immunity disorders,272,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,270-279 Other metabolic and immunity disorders,273,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,270-279 Other metabolic and immunity disorders,274,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,270-279 Other metabolic and immunity disorders,275,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,270-279 Other metabolic and immunity disorders,276,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,270-279 Other metabolic and immunity disorders,277,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,270-279 Other metabolic and immunity disorders,278,9
"Chapter III Endocrine, nutritional and metabolic diseases, and immunity disorders (240-279)",3,270-279 Other metabolic and immunity disorders,279,9
Chapter IV Diseases of the blood and blood-forming organs (280-289),4,280-285 Anemia,280,9
Chapter IV Diseases of the blood and blood-forming organs (280-289),4,280-285 Anemia,281,9
Chapter IV Diseases of the blood and blood-forming organs (280-289),4,280-285 Anemia,282,9
Chapter IV Diseases of the blood and blood-forming organs (280-289),4,280-285 Anemia,283,9
Chapter IV Diseases of the blood and blood-forming organs (280-289),4,280-285 Anemia,284,9
Chapter IV Diseases of the blood and blood-forming organs (280-289),4,280-285 Anemia,285,9
Chapter IV Diseases of the blood and blood-forming organs (280-289),4,286-287 Coagulation/hemorrhagic,286,9
Chapter IV Diseases of the blood and blood-forming organs (280-289),4,286-287 Coagulation/hemorrhagic,287,9
Chapter IV Diseases of the blood and blood-forming organs (280-289),4,288-289 Other,288,9
Chapter IV Diseases of the blood and blood-forming organs (280-289),4,288-289 Other,289,9
Chapter V Mental disorders (230-319),5,290-299 Psychosis,290,9
Chapter V Mental disorders (230-319),5,290-299 Psychosis,291,9
Chapter V Mental disorders (230-319),5,290-299 Psychosis,292,9
Chapter V Mental disorders (230-319),5,290-299 Psychosis,293,9
Chapter V Mental disorders (230-319),5,290-299 Psychosis,294,9
Chapter V Mental disorders (230-319),5,290-299 Psychosis,295,9
Chapter V Mental disorders (230-319),5,290-299 Psychosis,296,9
Chapter V Mental disorders (230-319),5,290-299 Psychosis,297,9
Chapter V Mental disorders (230-319),5,290-299 Psychosis,298,9
Chapter V Mental disorders (230-319),5,290-299 Psychosis,299,9
Chapter V Mental disorders (230-319),5,"300-316 Neurotic disorders, personality disorders, and other nonpsychotic mental disorders",300,9
Chapter V Mental disorders (230-319),5,"300-316 Neurotic disorders, personality disorders, and other nonpsychotic mental disorders",301,9
Chapter V Mental disorders (230-319),5,"300-316 Neurotic disorders, personality disorders, and other nonpsychotic mental disorders",302,9
Chapter V Mental disorders (230-319),5,"300-316 Neurotic disorders, personality disorders, and other nonpsychotic mental disorders",303,9
Chapter V Mental disorders (230-319),5,"300-316 Neurotic disorders, personality disorders, and other nonpsychotic mental disorders",304,9
Chapter V Mental disorders (230-319),5,"300-316 Neurotic disorders, personality disorders, and other nonpsychotic mental disorders",305,9
Chapter V Mental disorders (230-319),5,"300-316 Neurotic disorders, personality disorders, and other nonpsychotic mental disorders",306,9
Chapter V Mental disorders (230-319),5,"300-316 Neurotic disorders, personality disorders, and other nonpsychotic mental disorders",307,9
Chapter V Mental disorders (230-319),5,"300-316 Neurotic disorders, personality disorders, and other nonpsychotic mental disorders",308,9
Chapter V Mental disorders (230-319),5,"300-316 Neurotic disorders, personality disorders, and other nonpsychotic mental disorders",309,9
Chapter V Mental disorders (230-319),5,"300-316 Neurotic disorders, personality disorders, and other nonpsychotic mental disorders",310,9
Chapter V Mental disorders (230-319),5,"300-316 Neurotic disorders, personality disorders, and other nonpsychotic mental disorders",311,9
Chapter V Mental disorders (230-319),5,"300-316 Neurotic disorders, personality disorders, and other nonpsychotic mental disorders",312,9
Chapter V Mental disorders (230-319),5,"300-316 Neurotic disorders, personality disorders, and other nonpsychotic mental disorders",313,9
Chapter V Mental disorders (230-319),5,"300-316 Neurotic disorders, personality disorders, and other nonpsychotic mental disorders",314,9
Chapter V Mental disorders (230-319),5,"300-316 Neurotic disorders, personality disorders, and other nonpsychotic mental disorders",315,9
Chapter V Mental disorders (230-319),5,"300-316 Neurotic disorders, personality disorders, and other nonpsychotic mental disorders",316,9
