"description_icd10","maltreatment_type_agi2010","agi_index","icd_version","code_decimal"
"Examination and observation for other reasons: request for expert evidence","Undetermined cause",8,9,"V71.81"
"Neonatal withdrawal symptoms from maternal use of drugs of addiction","Adverse social circumstances",9,9,"779.5"
"Other problems related to physical environment","Adverse social circumstances",10,9,"V62.89"
"Problem related to physical environment, unspecified","Adverse social circumstances",11,9,"V62.89"
"Homelessness","Adverse social circumstances",12,9,"V60.0"
"Inadequate housing","Adverse social circumstances",13,9,"V60.1"
"Lack of adequate food","Adverse social circumstances",14,9,"V60.2"
"Extreme poverty","Adverse social circumstances",15,9,"V60.2"
"Insufficient social insurance and welfare support","Adverse social circumstances",16,9,"V60.2"
"Problem related to housing and economic circumstances, unspecified","Adverse social circumstances",17,9,"V60.9"
"Problems related to social environment","Adverse social circumstances",18,9,"V62.4"
"Problems related to negative life events in childhood","Adverse social circumstances",19,9,"V62.81"
"Other problems related to upbringing","Adverse social circumstances",20,9,"V61.20"
"Other problems related to upbringing","Adverse social circumstances",20,9,"V61.21"
"Other problems related to upbringing","Adverse social circumstances",20,9,"V61.29"
"Other problems related to primary support group","Adverse social circumstances",21,9,"V61.0"
"Other problems related to primary support group","Adverse social circumstances",21,9,"V61.8"
"Discord with counsellors","Adverse social circumstances",22,9,"V62.81"
"Problems related to other legal circumstances","Adverse social circumstances",23,9,"V62.5"
"Other specified problems related to psychosocial circumstances","Adverse social circumstances",24,9,"V62.89"
"Problem related to unspecified psychosocial circumstances","Adverse social circumstances",25,9,"V62.9"
"Problems related to lifestyle","Adverse social circumstances",26,9,"V69"
"Problems related to care-provider dependency","Adverse social circumstances",27,9,"V60.4"
"Health supervision and care of foundling","Adverse social circumstances",28,9,"V20.0"
"Health supervision and care of other healthy infant and child","Adverse social circumstances",29,9,"V20.1"
"Family history of mental and behavioural disorders","Adverse social circumstances",30,9,"V17.0"
"Personal history of other specified risk-factors, not elsewhere classified","Adverse social circumstances",31,9,"V15.41"
"Personal history of other specified risk-factors, not elsewhere classified","Adverse social circumstances",31,9,"V15.42"
"Personal history of other specified risk-factors, not elsewhere classified","Adverse social circumstances",31,9,"V15.89"
