"qualifying_code","any_other_required"
"E869.4","480.91"
"E869.4","480.92"
"E869.4","480.93"
"E869.4","480.94"
"E869.4","480.95"
"E869.4","480.96"
"E869.4","480.97"
"E869.4","480.98"
"E869.4","480.99"
"E869.4","481"
"E869.4","481.0"
"E869.4","481.00"
"E869.4","481.01"
"E869.4","481.02"
"E869.4","481.03"
"E869.4","481.04"
"E869.4","481.05"
"E869.4","481.06"
"E869.4","481.07"
"E869.4","481.08"
"E869.4","481.09"
"E869.4","481.1"
"E869.4","481.10"
"E869.4","481.11"
"E869.4","481.12"
"E869.4","481.13"
"E869.4","481.14"
"E869.4","481.15"
"E869.4","481.16"
"E869.4","481.17"
"E869.4","481.18"
"E869.4","481.19"
"E869.4","481.2"
"E869.4","481.20"
"E869.4","481.21"
"E869.4","481.22"
"E869.4","481.23"
"E869.4","481.24"
"E869.4","481.25"
"E869.4","481.26"
"E869.4","481.27"
"E869.4","481.28"
"E869.4","481.29"
"E869.4","481.3"
"E869.4","481.30"
"E869.4","481.31"
"E869.4","481.32"
"E869.4","481.33"
"E869.4","481.34"
"E869.4","481.35"
"E869.4","481.36"
"E869.4","481.37"
"E869.4","481.38"
"E869.4","481.39"
"E869.4","481.4"
"E869.4","481.40"
"E869.4","481.41"
"E869.4","481.42"
"E869.4","481.43"
"E869.4","481.44"
"E869.4","481.45"
"E869.4","481.46"
"E869.4","481.47"
"E869.4","481.48"
"E869.4","481.49"
"E869.4","481.5"
"E869.4","481.50"
"E869.4","481.51"
"E869.4","481.52"
"E869.4","481.53"
"E869.4","481.54"
"E869.4","481.55"
"E869.4","481.56"
"E869.4","481.57"
"E869.4","481.58"
"E869.4","481.59"
"E869.4","481.6"
"E869.4","481.60"
"E869.4","481.61"
"E869.4","481.62"
"E869.4","481.63"
"E869.4","481.64"
"E869.4","481.65"
"E869.4","481.66"
"E869.4","481.67"
"E869.4","481.68"
"E869.4","481.69"
"E869.4","481.7"
"E869.4","481.70"
"E869.4","481.71"
"E869.4","481.72"
"E869.4","481.73"
"E869.4","481.74"
"E869.4","481.75"
"E869.4","481.76"
"E869.4","481.77"
"E869.4","481.78"
"E869.4","481.79"
"E869.4","481.8"
"E869.4","481.80"
"E869.4","481.81"
"E869.4","481.82"
"E869.4","481.83"
"E869.4","481.84"
"E869.4","481.85"
"E869.4","481.86"
"E869.4","481.87"
"E869.4","481.88"
"E869.4","481.89"
"E869.4","481.9"
"E869.4","481.90"
"E869.4","481.91"
"E869.4","481.92"
"E869.4","481.93"
"E869.4","481.94"
"E869.4","481.95"
"E869.4","481.96"
"E869.4","481.97"
"E869.4","481.98"
"E869.4","481.99"
"E869.4","482"
"E869.4","482.0"
"E869.4","482.00"
"E869.4","482.01"
"E869.4","482.02"
"E869.4","482.03"
"E869.4","482.04"
"E869.4","482.05"
"E869.4","482.06"
"E869.4","482.07"
"E869.4","482.08"
"E869.4","482.09"
"E869.4","482.1"
"E869.4","482.10"
"E869.4","482.11"
"E869.4","482.12"
"E869.4","482.13"
"E869.4","482.14"
"E869.4","482.15"
"E869.4","482.16"
"E869.4","482.17"
"E869.4","482.18"
"E869.4","482.19"
"E869.4","482.2"
"E869.4","482.20"
"E869.4","482.21"
"E869.4","482.22"
"E869.4","482.23"
"E869.4","482.24"
"E869.4","482.25"
"E869.4","482.26"
"E869.4","482.27"
"E869.4","482.28"
"E869.4","482.29"
"E869.4","482.3"
"E869.4","482.30"
"E869.4","482.31"
"E869.4","482.32"
"E869.4","482.33"
"E869.4","482.34"
"E869.4","482.35"
"E869.4","482.36"
"E869.4","482.37"
"E869.4","482.38"
"E869.4","482.39"
"E869.4","482.4"
"E869.4","482.40"
"E869.4","482.41"
"E869.4","482.42"
"E869.4","482.43"
"E869.4","482.44"
"E869.4","482.45"
"E869.4","482.46"
"E869.4","482.47"
"E869.4","482.48"
"E869.4","482.49"
"E869.4","482.5"
"E869.4","482.50"
"E869.4","482.51"
"E869.4","482.52"
"E869.4","482.53"
"E869.4","482.54"
"E869.4","482.55"
"E869.4","482.56"
"E869.4","482.57"
"E869.4","482.58"
"E869.4","482.59"
"E869.4","482.6"
"E869.4","482.60"
"E869.4","482.61"
"E869.4","482.62"
"E869.4","482.63"
"E869.4","482.64"
"E869.4","482.65"
"E869.4","482.66"
"E869.4","482.67"
"E869.4","482.68"
"E869.4","482.69"
"E869.4","482.7"
"E869.4","482.70"
"E869.4","482.71"
"E869.4","482.72"
"E869.4","482.73"
"E869.4","482.74"
"E869.4","482.75"
"E869.4","482.76"
"E869.4","482.77"
"E869.4","482.78"
"E869.4","482.79"
"E869.4","482.8"
"E869.4","482.80"
"E869.4","482.81"
"E869.4","482.82"
"E869.4","482.83"
"E869.4","482.84"
"E869.4","482.85"
"E869.4","482.86"
"E869.4","482.87"
"E869.4","482.88"
"E869.4","482.89"
"E869.4","482.9"
"E869.4","482.90"
"E869.4","482.91"
"E869.4","482.92"
"E869.4","482.93"
"E869.4","482.94"
"E869.4","482.95"
"E869.4","482.96"
"E869.4","482.97"
"E869.4","482.98"
"E869.4","482.99"
"E869.4","483"
"E869.4","483.0"
"E869.4","483.00"
"E869.4","483.01"
"E869.4","483.02"
"E869.4","483.03"
"E869.4","483.04"
"E869.4","483.05"
"E869.4","483.06"
"E869.4","483.07"
"E869.4","483.08"
"E869.4","483.09"
"E869.4","483.1"
"E869.4","483.10"
"E869.4","483.11"
"E869.4","483.12"
"E869.4","483.13"
"E869.4","483.14"
"E869.4","483.15"
"E869.4","483.16"
"E869.4","483.17"
"E869.4","483.18"
"E869.4","483.19"
"E869.4","483.2"
"E869.4","483.20"
"E869.4","483.21"
"E869.4","483.22"
"E869.4","483.23"
"E869.4","483.24"
"E869.4","483.25"
"E869.4","483.26"
"E869.4","483.27"
"E869.4","483.28"
"E869.4","483.29"
"E869.4","483.3"
"E869.4","483.30"
"E869.4","483.31"
"E869.4","483.32"
"E869.4","483.33"
"E869.4","483.34"
"E869.4","483.35"
"E869.4","483.36"
"E869.4","483.37"
"E869.4","483.38"
"E869.4","483.39"
"E869.4","483.4"
"E869.4","483.40"
"E869.4","483.41"
"E869.4","483.42"
"E869.4","483.43"
"E869.4","483.44"
"E869.4","483.45"
"E869.4","483.46"
"E869.4","483.47"
"E869.4","483.48"
"E869.4","483.49"
"E869.4","483.5"
"E869.4","483.50"
"E869.4","483.51"
"E869.4","483.52"
"E869.4","483.53"
"E869.4","483.54"
"E869.4","483.55"
"E869.4","483.56"
"E869.4","483.57"
"E869.4","483.58"
"E869.4","483.59"
"E869.4","483.6"
"E869.4","483.60"
"E869.4","483.61"
"E869.4","483.62"
"E869.4","483.63"
"E869.4","483.64"
"E869.4","483.65"
"E869.4","483.66"
"E869.4","483.67"
"E869.4","483.68"
"E869.4","483.69"
"E869.4","483.7"
"E869.4","483.70"
"E869.4","483.71"
"E869.4","483.72"
"E869.4","483.73"
"E869.4","483.74"
"E869.4","483.75"
"E869.4","483.76"
"E869.4","483.77"
"E869.4","483.78"
"E869.4","483.79"
"E869.4","483.8"
"E869.4","483.80"
"E869.4","483.81"
"E869.4","483.82"
"E869.4","483.83"
"E869.4","483.84"
"E869.4","483.85"
"E869.4","483.86"
"E869.4","483.87"
"E869.4","483.88"
"E869.4","483.89"
"E869.4","483.9"
"E869.4","483.90"
"E869.4","483.91"
"E869.4","483.92"
"E869.4","483.93"
"E869.4","483.94"
"E869.4","483.95"
"E869.4","483.96"
"E869.4","483.97"
"E869.4","483.98"
"E869.4","483.99"
"E869.4","484"
"E869.4","484.0"
"E869.4","484.00"
"E869.4","484.01"
"E869.4","484.02"
"E869.4","484.03"
"E869.4","484.04"
"E869.4","484.05"
"E869.4","484.06"
"E869.4","484.07"
"E869.4","484.08"
"E869.4","484.09"
"E869.4","484.1"
"E869.4","484.10"
"E869.4","484.11"
"E869.4","484.12"
"E869.4","484.13"
"E869.4","484.14"
"E869.4","484.15"
"E869.4","484.16"
"E869.4","484.17"
"E869.4","484.18"
"E869.4","484.19"
"E869.4","484.2"
"E869.4","484.20"
"E869.4","484.21"
"E869.4","484.22"
"E869.4","484.23"
"E869.4","484.24"
"E869.4","484.25"
"E869.4","484.26"
"E869.4","484.27"
"E869.4","484.28"
"E869.4","484.29"
"E869.4","484.3"
"E869.4","484.30"
"E869.4","484.31"
"E869.4","484.32"
"E869.4","484.33"
"E869.4","484.34"
"E869.4","484.35"
"E869.4","484.36"
"E869.4","484.37"
"E869.4","484.38"
"E869.4","484.39"
"E869.4","484.4"
"E869.4","484.40"
"E869.4","484.41"
"E869.4","484.42"
"E869.4","484.43"
"E869.4","484.44"
"E869.4","484.45"
"E869.4","484.46"
"E869.4","484.47"
"E869.4","484.48"
"E869.4","484.49"
"E869.4","484.5"
"E869.4","484.50"
"E869.4","484.51"
"E869.4","484.52"
"E869.4","484.53"
"E869.4","484.54"
"E869.4","484.55"
"E869.4","484.56"
"E869.4","484.57"
"E869.4","484.58"
"E869.4","484.59"
"E869.4","484.6"
"E869.4","484.60"
"E869.4","484.61"
"E869.4","484.62"
"E869.4","484.63"
"E869.4","484.64"
"E869.4","484.65"
"E869.4","484.66"
"E869.4","484.67"
"E869.4","484.68"
"E869.4","484.69"
"E869.4","484.7"
"E869.4","484.70"
"E869.4","484.71"
"E869.4","484.72"
"E869.4","484.73"
"E869.4","484.74"
"E869.4","484.75"
"E869.4","484.76"
"E869.4","484.77"
"E869.4","484.78"
"E869.4","484.79"
"E869.4","484.8"
"E869.4","484.80"
"E869.4","484.81"
"E869.4","484.82"
"E869.4","484.83"
"E869.4","484.84"
"E869.4","484.85"
"E869.4","484.86"
"E869.4","484.87"
"E869.4","484.88"
"E869.4","484.89"
"E869.4","484.9"
"E869.4","484.90"
"E869.4","484.91"
"E869.4","484.92"
"E869.4","484.93"
"E869.4","484.94"
"E869.4","484.95"
"E869.4","484.96"
"E869.4","484.97"
"E869.4","484.98"
"E869.4","484.99"
"E869.4","485"
"E869.4","485.0"
"E869.4","485.00"
"E869.4","485.01"
"E869.4","485.02"
"E869.4","485.03"
"E869.4","485.04"
"E869.4","485.05"
"E869.4","485.06"
"E869.4","485.07"
"E869.4","485.08"
"E869.4","485.09"
"E869.4","485.1"
"E869.4","485.10"
"E869.4","485.11"
"E869.4","485.12"
"E869.4","485.13"
"E869.4","485.14"
"E869.4","485.15"
"E869.4","485.16"
"E869.4","485.17"
"E869.4","485.18"
"E869.4","485.19"
"E869.4","485.2"
"E869.4","485.20"
"E869.4","485.21"
"E869.4","485.22"
"E869.4","485.23"
"E869.4","485.24"
"E869.4","485.25"
"E869.4","485.26"
"E869.4","485.27"
"E869.4","485.28"
"E869.4","485.29"
"E869.4","485.3"
"E869.4","485.30"
"E869.4","485.31"
"E869.4","485.32"
"E869.4","485.33"
"E869.4","485.34"
"E869.4","485.35"
"E869.4","485.36"
"E869.4","485.37"
"E869.4","485.38"
"E869.4","485.39"
"E869.4","485.4"
"E869.4","485.40"
"E869.4","485.41"
"E869.4","485.42"
"E869.4","485.43"
"E869.4","485.44"
"E869.4","485.45"
"E869.4","485.46"
"E869.4","485.47"
"E869.4","485.48"
"E869.4","485.49"
"E869.4","485.5"
"E869.4","485.50"
"E869.4","485.51"
"E869.4","485.52"
"E869.4","485.53"
"E869.4","485.54"
"E869.4","485.55"
"E869.4","485.56"
"E869.4","485.57"
"E869.4","485.58"
"E869.4","485.59"
"E869.4","485.6"
"E869.4","485.60"
"E869.4","485.61"
"E869.4","485.62"
"E869.4","485.63"
"E869.4","485.64"
"E869.4","485.65"
"E869.4","485.66"
"E869.4","485.67"
"E869.4","485.68"
"E869.4","485.69"
"E869.4","485.7"
"E869.4","485.70"
"E869.4","485.71"
"E869.4","485.72"
"E869.4","485.73"
"E869.4","485.74"
"E869.4","485.75"
"E869.4","485.76"
"E869.4","485.77"
"E869.4","485.78"
"E869.4","485.79"
"E869.4","485.8"
"E869.4","485.80"
"E869.4","485.81"
"E869.4","485.82"
"E869.4","485.83"
"E869.4","485.84"
"E869.4","485.85"
"E869.4","485.86"
"E869.4","485.87"
"E869.4","485.88"
"E869.4","485.89"
"E869.4","485.9"
"E869.4","485.90"
"E869.4","485.91"
"E869.4","485.92"
"E869.4","485.93"
"E869.4","485.94"
"E869.4","485.95"
"E869.4","485.96"
"E869.4","485.97"
"E869.4","485.98"
"E869.4","485.99"
"E869.4","486"
"E869.4","486.0"
"E869.4","486.00"
"E869.4","486.01"
"E869.4","486.02"
"E869.4","486.03"
"E869.4","486.04"
"E869.4","486.05"
"E869.4","486.06"
"E869.4","486.07"
"E869.4","486.08"
"E869.4","486.09"
"E869.4","486.1"
"E869.4","486.10"
"E869.4","486.11"
"E869.4","486.12"
"E869.4","486.13"
"E869.4","486.14"
"E869.4","486.15"
"E869.4","486.16"
"E869.4","486.17"
"E869.4","486.18"
"E869.4","486.19"
"E869.4","486.2"
"E869.4","486.20"
"E869.4","486.21"
"E869.4","486.22"
"E869.4","486.23"
"E869.4","486.24"
"E869.4","486.25"
"E869.4","486.26"
"E869.4","486.27"
"E869.4","486.28"
"E869.4","486.29"
"E869.4","486.3"
"E869.4","486.30"
"E869.4","486.31"
"E869.4","486.32"
"E869.4","486.33"
"E869.4","486.34"
"E869.4","486.35"
"E869.4","486.36"
"E869.4","486.37"
"E869.4","486.38"
"E869.4","486.39"
"E869.4","486.4"
"E869.4","486.40"
"E869.4","486.41"
"E869.4","486.42"
"E869.4","486.43"
"E869.4","486.44"
"E869.4","486.45"
"E869.4","486.46"
"E869.4","486.47"
"E869.4","486.48"
"E869.4","486.49"
"E869.4","486.5"
"E869.4","486.50"
"E869.4","486.51"
"E869.4","486.52"
"E869.4","486.53"
"E869.4","486.54"
"E869.4","486.55"
"E869.4","486.56"
"E869.4","486.57"
"E869.4","486.58"
"E869.4","486.59"
"E869.4","486.6"
"E869.4","486.60"
"E869.4","486.61"
"E869.4","486.62"
"E869.4","486.63"
"E869.4","486.64"
"E869.4","486.65"
"E869.4","486.66"
"E869.4","486.67"
"E869.4","486.68"
"E869.4","486.69"
"E869.4","486.7"
"E869.4","486.70"
"E869.4","486.71"
"E869.4","486.72"
"E869.4","486.73"
"E869.4","486.74"
"E869.4","486.75"
"E869.4","486.76"
"E869.4","486.77"
"E869.4","486.78"
"E869.4","486.79"
"E869.4","486.8"
"E869.4","486.80"
"E869.4","486.81"
"E869.4","486.82"
"E869.4","486.83"
"E869.4","486.84"
"E869.4","486.85"
"E869.4","486.86"
"E869.4","486.87"
"E869.4","486.88"
"E869.4","486.89"
"E869.4","486.9"
"E869.4","486.90"
"E869.4","486.91"
"E869.4","486.92"
"E869.4","486.93"
"E869.4","486.94"
"E869.4","486.95"
"E869.4","486.96"
"E869.4","486.97"
"E869.4","486.98"
"E869.4","486.99"
"E869.4","487.0"
"E869.4","487.00"
"E869.4","487.01"
"E869.4","487.02"
"E869.4","487.03"
"E869.4","487.04"
"E869.4","487.05"
"E869.4","487.06"
"E869.4","487.07"
"E869.4","487.08"
"E869.4","487.09"
"E869.4","487.1"
"E869.4","487.10"
"E869.4","487.11"
"E869.4","487.12"
"E869.4","487.13"
"E869.4","487.14"
"E869.4","487.15"
"E869.4","487.16"
"E869.4","487.17"
"E869.4","487.18"
"E869.4","487.19"
"E869.4","487.2"
"E869.4","487.20"
"E869.4","487.21"
"E869.4","487.22"
"E869.4","487.23"
"E869.4","487.24"
"E869.4","487.25"
"E869.4","487.26"
"E869.4","487.27"
"E869.4","487.28"
"E869.4","487.29"
"E869.4","487.3"
"E869.4","487.30"
"E869.4","487.31"
"E869.4","487.32"
"E869.4","487.33"
"E869.4","487.34"
"E869.4","487.35"
"E869.4","487.36"
"E869.4","487.37"
"E869.4","487.38"
"E869.4","487.39"
"E869.4","487.4"
"E869.4","487.40"
"E869.4","487.41"
"E869.4","487.42"
"E869.4","487.43"
"E869.4","487.44"
"E869.4","487.45"
"E869.4","487.46"
"E869.4","487.47"
"E869.4","487.48"
"E869.4","487.49"
"E869.4","487.5"
"E869.4","487.50"
"E869.4","487.51"
"E869.4","487.52"
"E869.4","487.53"
"E869.4","487.54"
"E869.4","487.55"
"E869.4","487.56"
"E869.4","487.57"
"E869.4","487.58"
"E869.4","487.59"
"E869.4","487.6"
"E869.4","487.60"
"E869.4","487.61"
"E869.4","487.62"
"E869.4","487.63"
"E869.4","487.64"
"E869.4","487.65"
"E869.4","487.66"
"E869.4","487.67"
"E869.4","487.68"
"E869.4","487.69"
"E869.4","487.7"
"E869.4","487.70"
"E869.4","487.71"
"E869.4","487.72"
"E869.4","487.73"
"E869.4","487.74"
"E869.4","487.75"
"E869.4","487.76"
"E869.4","487.77"
"E869.4","487.78"
"E869.4","487.79"
"E869.4","487.8"
"E869.4","487.80"
"E869.4","487.81"
"E869.4","487.82"
"E869.4","487.83"
"E869.4","487.84"
"E869.4","487.85"
"E869.4","487.86"
"E869.4","487.87"
"E869.4","487.88"
"E869.4","487.89"
"E869.4","490.0"
"E869.4","490.00"
"E869.4","490.01"
"E869.4","490.02"
"E869.4","490.03"
"E869.4","490.04"
"E869.4","490.05"
"E869.4","490.06"
"E869.4","490.07"
"E869.4","490.08"
"E869.4","490.09"
"E869.4","490.1"
"E869.4","490.10"
"E869.4","490.11"
"E869.4","490.12"
"E869.4","490.13"
"E869.4","490.14"
"E869.4","490.15"
"E869.4","490.16"
"E869.4","490.17"
"E869.4","490.18"
"E869.4","490.19"
"E869.4","490.2"
"E869.4","490.20"
"E869.4","490.21"
"E869.4","490.22"
"E869.4","490.23"
"E869.4","490.24"
"E869.4","490.25"
"E869.4","490.26"
"E869.4","490.27"
"E869.4","490.28"
"E869.4","490.29"
"E869.4","490.3"
"E869.4","490.30"
"E869.4","490.31"
"E869.4","490.32"
"E869.4","490.33"
"E869.4","490.34"
"E869.4","490.35"
"E869.4","490.36"
"E869.4","490.37"
"E869.4","490.38"
"E869.4","490.39"
"E869.4","490.4"
"E869.4","490.40"
"E869.4","490.41"
"E869.4","490.42"
"E869.4","490.43"
"E869.4","490.44"
"E869.4","490.45"
"E869.4","490.46"
"E869.4","490.47"
"E869.4","490.48"
"E869.4","490.49"
"E869.4","490.5"
"E869.4","490.50"
"E869.4","490.51"
"E869.4","490.52"
"E869.4","490.53"
"E869.4","490.54"
"E869.4","490.55"
"E869.4","490.56"
"E869.4","490.57"
"E869.4","490.58"
"E869.4","490.59"
"E869.4","490.6"
"E869.4","490.60"
"E869.4","490.61"
"E869.4","490.62"
"E869.4","490.63"
"E869.4","490.64"
"E869.4","490.65"
"E869.4","490.66"
"E869.4","490.67"
"E869.4","490.68"
"E869.4","490.69"
"E869.4","490.7"
"E869.4","490.70"
"E869.4","490.71"
"E869.4","490.72"
"E869.4","490.73"
"E869.4","490.74"
"E869.4","490.75"
"E869.4","490.76"
"E869.4","490.77"
"E869.4","490.78"
"E869.4","490.79"
"E869.4","490.8"
"E869.4","490.80"
"E869.4","490.81"
"E869.4","490.82"
"E869.4","490.83"
"E869.4","490.84"
"E869.4","490.85"
"E869.4","490.86"
"E869.4","490.87"
"E869.4","490.88"
"E869.4","490.89"
"E869.4","490.9"
"E869.4","490.90"
"E869.4","490.91"
"E869.4","490.92"
"E869.4","490.93"
"E869.4","490.94"
"E869.4","490.95"
"E869.4","490.96"
"E869.4","490.97"
"E869.4","490.98"
"E869.4","490.99"
"E869.4","491.0"
"E869.4","491.00"
"E869.4","491.01"
"E869.4","491.02"
"E869.4","491.03"
"E869.4","491.04"
"E869.4","491.05"
"E869.4","491.06"
"E869.4","491.07"
"E869.4","491.08"
"E869.4","491.09"
"E869.4","491.1"
"E869.4","491.10"
"E869.4","491.11"
"E869.4","491.12"
"E869.4","491.13"
"E869.4","491.14"
"E869.4","491.15"
"E869.4","491.16"
"E869.4","491.17"
"E869.4","491.18"
"E869.4","491.19"
"E869.4","491.2"
"E869.4","491.20"
"E869.4","491.21"
"E869.4","491.22"
"E869.4","491.23"
"E869.4","491.24"
"E869.4","491.25"
"E869.4","491.26"
"E869.4","491.27"
"E869.4","491.28"
"E869.4","491.29"
"E869.4","491.3"
"E869.4","491.30"
"E869.4","491.31"
"E869.4","491.32"
"E869.4","491.33"
"E869.4","491.34"
"E869.4","491.35"
"E869.4","491.36"
"E869.4","491.37"
"E869.4","491.38"
"E869.4","491.39"
"E869.4","491.4"
"E869.4","491.40"
"E869.4","491.41"
"E869.4","491.42"
"E869.4","491.43"
"E869.4","491.44"
"E869.4","491.45"
"E869.4","491.46"
"E869.4","491.47"
"E869.4","491.48"
"E869.4","491.49"
"E869.4","491.5"
"E869.4","491.50"
"E869.4","491.51"
"E869.4","491.52"
"E869.4","491.53"
"E869.4","491.54"
"E869.4","491.55"
"E869.4","491.56"
"E869.4","491.57"
"E869.4","491.58"
"E869.4","491.59"
"E869.4","491.6"
"E869.4","491.60"
"E869.4","491.61"
"E869.4","491.62"
"E869.4","491.63"
"E869.4","491.64"
"E869.4","491.65"
"E869.4","491.66"
"E869.4","491.67"
"E869.4","491.68"
"E869.4","491.69"
"E869.4","491.7"
"E869.4","491.70"
"E869.4","491.71"
"E869.4","491.72"
"E869.4","491.73"
"E869.4","491.74"
"E869.4","491.75"
"E869.4","491.76"
"E869.4","491.77"
"E869.4","491.78"
"E869.4","491.79"
"E869.4","491.8"
"E869.4","491.80"
"E869.4","491.81"
"E869.4","491.82"
"E869.4","491.83"
"E869.4","491.84"
"E869.4","491.85"
"E869.4","491.86"
"E869.4","491.87"
"E869.4","491.88"
"E869.4","491.89"
"E869.4","491.9"
"E869.4","491.90"
"E869.4","491.91"
"E869.4","491.92"
"E869.4","491.93"
"E869.4","491.94"
"E869.4","491.95"
"E869.4","491.96"
"E869.4","491.97"
"E869.4","491.98"
"E869.4","491.99"
"E869.4","466.0"
"E869.4","466.00"
"E869.4","466.01"
"E869.4","466.02"
"E869.4","466.03"
"E869.4","466.04"
"E869.4","466.05"
"E869.4","466.06"
"E869.4","466.07"
"E869.4","466.08"
"E869.4","466.09"
"E869.4","466.1"
"E869.4","466.10"
"E869.4","466.11"
"E869.4","466.12"
"E869.4","466.13"
"E869.4","466.14"
"E869.4","466.15"
"E869.4","466.16"
"E869.4","466.17"
"E869.4","466.18"
"E869.4","466.19"
"E869.4","493.0"
"E869.4","493.00"
"E869.4","493.01"
"E869.4","493.02"
"E869.4","493.03"
"E869.4","493.04"
"E869.4","493.05"
"E869.4","493.06"
"E869.4","493.07"
"E869.4","493.08"
"E869.4","493.09"
"E869.4","493.1"
"E869.4","493.10"
"E869.4","493.11"
"E869.4","493.12"
"E869.4","493.13"
"E869.4","493.14"
"E869.4","493.15"
"E869.4","493.16"
"E869.4","493.17"
"E869.4","493.18"
"E869.4","493.19"
"E869.4","493.2"
"E869.4","493.20"
"E869.4","493.21"
"E869.4","493.22"
"E869.4","493.23"
"E869.4","493.24"
"E869.4","493.25"
"E869.4","493.26"
"E869.4","493.27"
"E869.4","493.28"
"E869.4","493.29"
"E869.4","493.3"
"E869.4","493.30"
"E869.4","493.31"
"E869.4","493.32"
"E869.4","493.33"
"E869.4","493.34"
"E869.4","493.35"
"E869.4","493.36"
"E869.4","493.37"
"E869.4","493.38"
"E869.4","493.39"
"E869.4","493.4"
"E869.4","493.40"
"E869.4","493.41"
"E869.4","493.42"
"E869.4","493.43"
"E869.4","493.44"
"E869.4","493.45"
"E869.4","493.46"
"E869.4","493.47"
"E869.4","493.48"
"E869.4","493.49"
"E869.4","493.5"
"E869.4","493.50"
"E869.4","493.51"
"E869.4","493.52"
"E869.4","493.53"
"E869.4","493.54"
"E869.4","493.55"
"E869.4","493.56"
"E869.4","493.57"
"E869.4","493.58"
"E869.4","493.59"
"E869.4","493.6"
"E869.4","493.60"
"E869.4","493.61"
"E869.4","493.62"
"E869.4","493.63"
"E869.4","493.64"
"E869.4","493.65"
"E869.4","493.66"
"E869.4","493.67"
"E869.4","493.68"
"E869.4","493.69"
"E869.4","493.7"
"E869.4","493.70"
"E869.4","493.71"
"E869.4","493.72"
"E869.4","493.73"
"E869.4","493.74"
"E869.4","493.75"
"E869.4","493.76"
"E869.4","493.77"
"E869.4","493.78"
"E869.4","493.79"
"E869.4","493.8"
"E869.4","493.80"
"E869.4","493.81"
"E869.4","493.82"
"E869.4","493.83"
"E869.4","493.84"
"E869.4","493.85"
"E869.4","493.86"
"E869.4","493.87"
"E869.4","493.88"
"E869.4","493.89"
"E869.4","493.9"
"E869.4","493.90"
"E869.4","493.91"
"E869.4","493.92"
"E869.4","493.93"
"E869.4","493.94"
"E869.4","493.95"
"E869.4","493.96"
"E869.4","493.97"
"E869.4","493.98"
"E869.4","493.99"
"E869.4","381.0"
"E869.4","381.00"
"E869.4","381.01"
"E869.4","381.02"
"E869.4","381.03"
"E869.4","381.04"
"E869.4","381.05"
"E869.4","381.06"
"E869.4","381.07"
"E869.4","381.08"
"E869.4","381.09"
"E869.4","381.1"
"E869.4","381.10"
"E869.4","381.11"
"E869.4","381.12"
"E869.4","381.13"
"E869.4","381.14"
"E869.4","381.15"
"E869.4","381.16"
"E869.4","381.17"
"E869.4","381.18"
"E869.4","381.19"
"E869.4","381.2"
"E869.4","381.20"
"E869.4","381.21"
"E869.4","381.22"
"E869.4","381.23"
"E869.4","381.24"
"E869.4","381.25"
"E869.4","381.26"
"E869.4","381.27"
"E869.4","381.28"
"E869.4","381.29"
"E869.4","381.3"
"E869.4","381.30"
"E869.4","381.31"
"E869.4","381.32"
"E869.4","381.33"
"E869.4","381.34"
"E869.4","381.35"
"E869.4","381.36"
"E869.4","381.37"
"E869.4","381.38"
"E869.4","381.39"
