"code","description_icd9","inclusion_index","maltreatment_type_schnitzer2011","code_decimal","age_less_than"
"966","966 Poisoning by anticonvulsants and anti-parkinsonism drugs",36,"ICD-9 codes suggestive of neglect","966",5
"967","967 Poisoning by sedatives and hypnotics",36,"ICD-9 codes suggestive of neglect","967",5
"968","968 Poisoning by other central nervous system depressants",36,"ICD-9 codes suggestive of neglect","968",5
"969","969 Poisoning by psychotropic agents",36,"ICD-9 codes suggestive of neglect","969",5
"970","970 Poisoning by central nervous system stimulants",36,"ICD-9 codes suggestive of neglect","970",5
"971","971 Poisoning by drugs primarily affecting the autonomic nervous system",36,"ICD-9 codes suggestive of neglect","971",5
"972","972 Poisoning by agents primarily affecting the cardiovascular system",36,"ICD-9 codes suggestive of neglect","972",5
"973","973 Poisoning by agents primarily affecting the gastrointestinal system",36,"ICD-9 codes suggestive of neglect","973",5
"974","974 Poisoning by water, mineral and uric acid metabolism drugs",36,"ICD-9 codes suggestive of neglect","974",5
"975","975 Poisoning by agents prim. act. on smooth/skeletal muscles, respir. system",36,"ICD-9 codes suggestive of neglect","975",5
"976","976 Poisoning by agents prim.aff.skin, mucous memb.; ophth,otorhin,dental drug",36,"ICD-9 codes suggestive of neglect","976",5
"977","977 Poisoning by other and unspecified drugs and medicaments",36,"ICD-9 codes suggestive of neglect","977",5
"978","978 Poisoning by bacterial vaccines",36,"ICD-9 codes suggestive of neglect","978",5
"979","979 Poisoning by other vaccines and biological substances",36,"ICD-9 codes suggestive of neglect","979",5
"9941","9941 Drowning and nonfatal submersion",37,"ICD-9 codes suggestive of neglect","994.1",4
"E9102","E9102 Acc. drowning/submersion sport without diving equ'pt",39,"ICD-9 codes suggestive of neglect","E910.2",4
"E9104","E9104 Acc. drowning/submersion in bathtub",40,"ICD-9 codes suggestive of neglect","E910.4",4
"E9108","E9108 Other spec. acc. drowning/submersion",41,"ICD-9 codes suggestive of neglect","E910.8",4
"E9109","E9109 Unspec. acc. drowning and submersion",42,"ICD-9 codes suggestive of neglect","E910.9",4
"E9600","E9600 Unarmed fight or brawl",43,"ICD-9 codes suggestive of neglect","E960.0",4
"E980","E980 Injury undet. whether acc. or purposely inflicted (e980-e989)",44,"ICD-9 codes suggestive of neglect","E980",5
"E985","E985 Injury by firearms, explosives, undet. acc./purposely inflicted",45,"ICD-9 codes suggestive of neglect","E985",10
"V60","V60 Housing, household and economic circumstances",46,"ICD-9 codes suggestive of neglect","V60",10
